246,10.2,0.74,-9.00E+02
500,10.2,1.56,-4.40E+02
999,10.2,3.24,-2.00E+02
1250,10.2,4.16,-1.40E+02
1500,10,5.16,-1.00E+02
1750,9.8,6.24,-8.00E+01
2005,10,7.52,-6.00E+01
2250,10.4,8.88,-3.20E+01
2500,10.4,9.44,-1.20E+01
2753,10.2,9.5,0.00E+00
2995,10.2,9.28,1.12E+02
3252,10.2,8.88,2.00E+01
3512,10,8.4,2.00E+01
4016,10,7.4,3.20E+01
4580,10,6.3,3.20E+01
5000,10,5.8,3.20E+01
6024,10,4.7,2.80E+01
7016,10.4,4.1,2.60E+01
8000,10.4,3.6,2.20E+01
9020,10.4,3.1,2.00E+01
10053,10.4,2.8,2.00E+01
